title,home,keywords,publisher,country,classification,subjects
npj Parkinson's Disease,https://www.nature.com/npjparkd/,"parkinson’s disease, lewy bodies, chaperone-mediated autophagy, mild cognitive impairment, central nervous system",Nature Portfolio,United States,RC346-429,Medicine: Internal medicine: Neurosciences. Biological psychiatry. Neuropsychiatry: Neurology. Diseases of the nervous system
npj Precision Oncology,https://www.nature.com/npjprecisiononcology/,"carcinogenesis, targeted immunotherapy, panomics, oncology",Nature Portfolio,United States,RC254-282,Medicine: Internal medicine: Neoplasms. Tumors. Oncology. Including cancer and carcinogens
npj Primary Care Respiratory Medicine,https://www.nature.com/npjpcrm/,"respiratory medicine, asthma, respiratory-related allergic diseases, respiratory diseases",Nature Portfolio,United Kingdom,RC705-779,Medicine: Internal medicine: Specialties of internal medicine: Diseases of the respiratory system
npj Quantum Information,https://www.nature.com/npjqi/,"quantum computing, quantum communication, quantum information theory, quantum networks",Nature Portfolio,United Kingdom,QC1-999|QA75.5-76.95,Science: Physics | Science: Mathematics: Instruments and machines: Electronic computers. Computer science
npj Quantum Materials,https://www.nature.com/npjquantmats/,"correlated electronic materials, superconducting materials, topological quantum materials, quantum phenomena, advanced energy materials",Nature Portfolio,United Kingdom,TA401-492|QC170-197,Technology: Electrical engineering. Electronics. Nuclear engineering: Materials of engineering and construction. Mechanics of materials | Science: Physics: Atomic physics. Constitution and properties of matter
npj Regenerative Medicine,https://www.nature.com/npjregenmed/,"regenerative medicine, tissue engineering, translational research, molecular biology",Nature Portfolio,United Kingdom,R,Medicine
npj Schizophrenia,https://www.nature.com/npjschz/,"schizophrenia, mental health, psychiatry, neuroscience, multiple personality, psychosis",Nature Portfolio,United States,RC435-571,Medicine: Internal medicine: Neurosciences. Biological psychiatry. Neuropsychiatry: Neurology. Diseases of the nervous system: Psychiatry
npj Science of Food,https://www.nature.com/npjscifood/,"food safety, food security, health, food innovations, food production",Nature Portfolio,United Kingdom,TX341-641|TP368-456,Technology: Home economics: Nutrition. Foods and food supply | Technology: Chemical technology: Food processing and manufacture
npj Science of Learning,https://www.nature.com/npjscilearn/,"neuroscience, education, learning, neurobiology, cognitive psychology",Nature Portfolio,United Kingdom,LC8-6691|RC321-571,Education: Special aspects of education | Medicine: Internal medicine: Neurosciences. Biological psychiatry. Neuropsychiatry
npj Systems Biology and Applications,https://www.nature.com/npjsba/,"systems biology, bioinformatics, computational systems biology, molecular biology",Nature Portfolio,United Kingdom,QH301-705.5,Science: Biology (General)
npj Urban Sustainability,https://www.nature.com/npjurbansustain,"cities, urbanization, urban development, sustainability, urban planning",Nature Portfolio,United Kingdom,HT361-384|HT165.5-169.9,Social Sciences: Communities. Classes. Races: Urban groups. The city. Urban sociology: Urbanization. City and country | Social Sciences: Communities. Classes. Races: Urban groups. The city. Urban sociology: City planning
npj Vaccines,https://www.nature.com/npjvaccines/,"oncology vaccines, aids vaccine, vaccine safety, vaccine formulation, vaccine adjuvants, veterinary vaccines",Nature Portfolio,United States,RC581-607|RC254-282,Medicine: Internal medicine: Specialties of internal medicine: Immunologic diseases. Allergy | Medicine: Internal medicine: Neoplasms. Tumors. Oncology. Including cancer and carcinogens
NSW Public Health Bulletin,http://www.phrp.com.au,"medicine, public health",Sax Institute,Australia,R|RA1-1270,Medicine: Public aspects of medicine
Nuclear Energy and Technology,https://nucet.pensoft.net/,"nuclear energy, nuclear technology, nuclear power, reactor physics, radiation applications",National Research Nuclear University (MEPhI),Russian Federation,TK9001-9401,Technology: Electrical engineering. Electronics. Nuclear engineering: Nuclear engineering. Atomic power
Nuclear Engineering and Technology,http://www.journals.elsevier.com/nuclear-engineering-and-technology,"reactor physics, nuclear safety, nuclear fuel cycle, nuclear fuel and reactor materials, radiation applications, nuclear i&c",Elsevier,"Korea, Republic of",TK9001-9401,Technology: Electrical engineering. Electronics. Nuclear engineering: Nuclear engineering. Atomic power
Nuclear Materials and Energy,http://www.journals.elsevier.com/nuclear-materials-and-energy/,"materials science, fusion, research, technology, nuclear energy, engineering",Elsevier,United Kingdom,TK9001-9401,Technology: Electrical engineering. Electronics. Nuclear engineering: Nuclear engineering. Atomic power
Nuclear Medicine Review,https://journals.viamedica.pl/nuclear_medicine_review/index,"nuclear medicine, treatment, pathology, therapy",Via Medica,Poland,R,Medicine
Nuclear Physics B,http://www.journals.elsevier.com/nuclear-physics-b/,"high energy physics, quantum field theory, mathematical physics, statistical systems, nuclear physics",Elsevier,Netherlands,QC770-798,Science: Physics: Nuclear and particle physics. Atomic energy. Radioactivity
Nuclear Receptor Research,http://www.kenzpub.com/journals/nurr/,nuclear receptors,KenzPub,Egypt,Q|QD415-436,Science: Chemistry: Organic chemistry: Biochemistry
Nuclear Sciences Scientific Journal,http://ssnma.com/AboutJournal.aspx,"nuclear sciences, geology, petrography, mineralogy",Scientific Society of Nuclear Materials Authority (SSNMA),Egypt,QC770-798,Science: Physics: Nuclear and particle physics. Atomic energy. Radioactivity
Nuclear Technology and Radiation Protection,http://www.doiserbia.nb.rs/journal.aspx?issn=1451-3994,nuclear power,VINCA Institute of Nuclear Sciences,Serbia,QC770-798,Science: Physics: Nuclear and particle physics. Atomic energy. Radioactivity
Nucleic Acids Research,https://academic.oup.com/nar,"dna, biochemistry, computational biology, genomics, molecular biology, rna",Oxford University Press,United Kingdom,QH426-470,Science: Biology (General): Genetics
Nucleus,http://www.tandfonline.com/KNCL,"cell nucleus biology, nuclear structure, nuclear transport, dna replication, gene expression",Taylor & Francis Group,United Kingdom,QH426-470|QH573-671,Science: Biology (General): Genetics | Science: Biology (General): Cytology
Nukleonika,https://sciendo.com/journal/NUKA,"nuclear chemistry, nuclear physics, radiation chemistry, radiobiology, nuclear techniques",Sciendo,Poland,Q,Science
Numeracy,http://scholarcommons.usf.edu/numeracy/,"quantitative literacy, mathematics education",National Numeracy Network,United States,LC8-6691|QA1-939,Education: Special aspects of education | Science: Mathematics
Nurani Hukum,https://jurnal.untirta.ac.id/index.php/nhk/index,"law, international law, administrative law, constitutional law, private law, criminal law","Faculty of Law, Universitas Sultan Ageng Tirtayasa",Indonesia,K,Law
Nurse Media: Journal of Nursing,http://ejournal.undip.ac.id/index.php/medianers/index,"nurse, nursing, holistic, cam",Diponegoro University,Indonesia,RT1-120,Medicine: Nursing
Nursing & Health Sciences Research Journal,https://scholarlycommons.baptisthealth.net/nhsrj/,"nursing research, health sciences, evidence-based practice, patient care/outcomes, performance improvement, clinical settings",Library & Knowledge Services and Nursing & Health Sciences Research Departments,United States,RT1-120,Medicine: Nursing
Nursing and Midwifery Studies,http://www.nmsjournal.com,"nursing, midwifery, healthcare services",Wolters Kluwer Medknow Publications,India,RT1-120,Medicine: Nursing
Nursing Open,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)2054-1058,"nursing open, nurse, midwife, medical, health, research",Wiley,United Kingdom,RT1-120,Medicine: Nursing
Nursing Practice Today,https://npt.tums.ac.ir,"nursing, midwifery",Tehran University of Medical Sciences,"Iran, Islamic Republic of",RT1-120,Medicine: Nursing
Nursing Reports,https://www.mdpi.com/journal/nursrep,"cancer nuring, home care, nursing practice, nursing research, nursing, healthcare",MDPI AG,Switzerland,RT1-120,Medicine: Nursing
Nursing Research and Practice,https://www.hindawi.com/journals/nrp/,"nursing, nurses",Hindawi Limited,United Kingdom,RT1-120,Medicine: Nursing
Nursing: Research and Reviews,https://www.dovepress.com/nursing-research-and-reviews-journal,"nursing, patient care, patient safety",Dove Medical Press,United Kingdom,RT1-120,Medicine: Nursing
NursingPlus Open,https://www.journals.elsevier.com/nursingplus-open/,"nursing practice, education, management, policy, nursing and midwifery",Elsevier,United Kingdom,RT1-120,Medicine: Nursing
Nusa,http://www.aa.tufs.ac.jp/en/publications/nusa,"linguistics, indonesia, malaysia, brunei, singapore, philippines","Universitas Katolik Indonesia Atma Jaya, Tokyo University of Foreign Studies",Japan,P1-1091,Language and Literature: Philology. Linguistics
Nusantara Bioscience,https://smujo.id/nb,"biological sciences, molecular biology",MBI & UNS Solo,Indonesia,QH301-705.5,Science: Biology (General)
NUST Journal of Engineering Sciences,https://journals.nust.edu.pk/index.php/njes,"engineering sciences, electrical engineering, mechanical engineering, civil engineering, chemical engineering","National University of Sciences and Technology, Islamabad",Pakistan,TA1-2040|TK1-9971|TP155-156,Technology: Engineering (General). Civil engineering (General) | Technology: Electrical engineering. Electronics. Nuclear engineering | Technology: Chemical technology: Chemical engineering
Nutrients,https://www.mdpi.com/journal/nutrients,human nutrition,MDPI AG,Switzerland,TX341-641,Technology: Home economics: Nutrition. Foods and food supply
Nutrition & Diabetes,http://www.nature.com/nutd/index.html,"diabetes, genetic and epidemiological studies, clinical, nutrition and chronic disease, metabolic",Nature Publishing Group,United Kingdom,RC620-627,Medicine: Internal medicine: Specialties of internal medicine: Nutritional diseases. Deficiency diseases
Nutrition & Metabolism,https://nutritionandmetabolism.biomedcentral.com/,"nutrition, obesity, exercise physiology, metabolic syndrome, diabetes",BMC,United Kingdom,TX341-641|RC620-627,Technology: Home economics: Nutrition. Foods and food supply | Medicine: Internal medicine: Specialties of internal medicine: Nutritional diseases. Deficiency diseases
Nutrition and Dietary Supplements,https://www.dovepress.com/nutrition-and-dietary-supplements-journal,"metabolism, obesity, diabetes, dietary strategies, public health policy, health economics",Dove Medical Press,United Kingdom,TX341-641|RC620-627,Technology: Home economics: Nutrition. Foods and food supply | Medicine: Internal medicine: Specialties of internal medicine: Nutritional diseases. Deficiency diseases
Nutrition and Food Sciences Research,http://nfsr.sbmu.ac.ir,"nutrition, food",Shahid Beheshti University of Medical Sciences,"Iran, Islamic Republic of",TX341-641,Technology: Home economics: Nutrition. Foods and food supply
Nutrition and Metabolic Insights,https://journals.sagepub.com/home/nmi,"metabolism, nutritional diseases",SAGE Publishing,United Kingdom,TX341-641|RC620-627,Technology: Home economics: Nutrition. Foods and food supply | Medicine: Internal medicine: Specialties of internal medicine: Nutritional diseases. Deficiency diseases
Nutrition Journal,https://nutritionj.biomedcentral.com/,"nutrition, eating patterns, dietary intake",BMC,United Kingdom,TX341-641|RC620-627,Technology: Home economics: Nutrition. Foods and food supply | Medicine: Internal medicine: Specialties of internal medicine: Nutritional diseases. Deficiency diseases
NWIG,https://brill.com/view/journals/nwig/nwig-overview.xml,"humanities, anthropology, history, colonial and postcolonial studies, west indian history, caribbean studies",BRILL,Netherlands,GN301-674|F1201-3799|JV1-9480,Geography. Anthropology. Recreation: Anthropology: Ethnology. Social and cultural anthropology | History America: Latin America. Spanish America | Political science: Colonies and colonization. Emigration and immigration. International migration
NYS TESOL Journal,http://journal.nystesol.org,"tesol, esl, second language acquisition",NYS TESOL,United States,LC8-6691,Education: Special aspects of education
OASIcs : OpenAccess Series in Informatics,http://www.dagstuhl.de/oasics,informatics,Schloss Dagstuhl -- Leibniz-Zentrum fuer Informatik,Germany,T58.5-58.64,Technology: Technology (General): Industrial engineering. Management engineering: Information technology
Obesities,https://www.mdpi.com/journal/obesities,"obesity biology and integrated physiology, nutritional medicine, metabolic syndrome, over weight, psychological and epidemiological aspects of obesity and related disorders, food science and technology",MDPI AG,Switzerland,TP368-456|RC620-627,Technology: Chemical technology: Food processing and manufacture | Medicine: Internal medicine: Specialties of internal medicine: Nutritional diseases. Deficiency diseases
Obesity Facts,http://www.karger.com/ofa,"obesity, overweight, nutrition, epidemiology, pathogenesis, endocrinology",Karger Publishers,Switzerland,TX341-641|RC620-627,Technology: Home economics: Nutrition. Foods and food supply | Medicine: Internal medicine: Specialties of internal medicine: Nutritional diseases. Deficiency diseases
Obesity Science & Practice,https://onlinelibrary.wiley.com/journal/20552238,"obesity, obesity prevention, diet, nutrition medicine",Wiley,United States,RC31-1245,Medicine: Internal medicine
Obiter,https://obiter.mandela.ac.za/index,"law, constitutional law, jurisprudence, legal studies, legal theory, south african law",Nelson Mandela University,South Africa,KL-KWX,"Law: Asia and Eurasia, Africa, Pacific Area, and Antarctica"
OBOE,http://www.oboejournal.com/index.php/oboe,"contemporary art, exhibitions, biennials, art history, visual culture, art",OBOE On Biennials and Other Exhibitions Associazione Culturale,Italy,NX1-820,Fine Arts: Arts in general
Observational Studies,https://obs.pennpress.org,"statistics, non-randomized studies, causal inference, statistical methods, study design, study protocols",University of Pennsylvania Press,United States,H|R,Social Sciences | Medicine
Obstetrics and Gynecology International,https://www.hindawi.com/journals/ogi/,"pregnancy, obstetrics, gynaecology",Hindawi Limited,United Kingdom,RG1-991,Medicine: Gynecology and obstetrics
Occupational Therapy International,https://www.hindawi.com/journals/oti/,occupational therapy,Hindawi-Wiley,United Kingdom,RM1-950,Medicine: Therapeutics. Pharmacology
Ocean and Coastal Research,https://www.ocr-journal.org/,"oceanography, ocean sciences, marine biology, sedimentology, fisheries, conservation",Instituto Oceanográfico da Universidade de São Paulo,Brazil,GC1-1581,Geography. Anthropology. Recreation: Oceanography
Ocean Science,http://www.ocean-science.net/index.html,"ocean physics, ocean chemistry, biological oceanography, air–sea interactions, coastal and shelf edge processes",Copernicus Publications,Germany,G|GE1-350,Geography. Anthropology. Recreation: Environmental sciences
Oceanography,https://tos.org/oceanography/,"oceanography, ocean sciences, marine science",The Oceanography Society,United States,GC1-1581,Geography. Anthropology. Recreation: Oceanography
Oceanologia,http://www.journals.elsevier.com/oceanologia/,"oceanography, earth science",Elsevier,Netherlands,GC1-1581,Geography. Anthropology. Recreation: Oceanography
Oceanological and Hydrobiological Studies,https://sciendo.com/journal/OANDHS,"oceanology, marine biology, marine sciences",Sciendo,Poland,GC1-1581|QH301-705.5,Geography. Anthropology. Recreation: Oceanography | Science: Biology (General)
Oceans,https://www.mdpi.com/journal/oceans,"ocean geosciences, ocean climate and meteorology, paleoceanography, ocean circulation, ocean chemistry and biogeochemistry, ocean ecology and biology",MDPI AG,Switzerland,GC1-1581,Geography. Anthropology. Recreation: Oceanography
Odessa Astronomical Publications,http://oap.onu.edu.ua/,"astronomy, astrophysics, space research",Odessa I. I. Mechnykov National University,Ukraine,QB1-991,Science: Astronomy
Oeconomics of Knowledge,https://sites.google.com/site/oeconomicsofknowledge/home,"knowledge, economics, computer science",Saphira Publishing,Romania,QA75.5-76.95|HB71-74,Science: Mathematics: Instruments and machines: Electronic computers. Computer science | Social Sciences: Economic theory. Demography: Economics as a science
OENO One,http://www.oeno-one.eu,"viticulture, oenology, grapevine, wine marketing, wine sector, wine technology",International Viticulture and Enology Society,France,S|QK1-989,Agriculture | Science: Botany
Offa's Dyke Journal,http://revistas.jasarqueologia.es/index.php/odjournal,"archaeology, history, landscape, dyke, borders",JAS Arqueología,Spain,CC1-960,Auxiliary sciences of history: Archaeology
OIDA International Journal of Sustainable Development,http://www.oidaijsd.com,"sustainable development, sustainable policy, natural resources, environmental science, human development",Ontario International Development Agency,Canada,HD72-88,"Social Sciences: Industries. Land use. Labor: Economic growth, development, planning"
Oil Crop Science,http://www.keaipublishing.com/en/journals/oil-crop-science/,"oil-bearing plant, genetics and breeding, germplasm resources, plant protection and cultivation, oil detection and quality inspection, functional oil processing and nutrition","KeAi Communications Co., Ltd.",China,QH426-470,Science: Biology (General): Genetics
Oil Shale,https://www.eap.ee/oilshale,"oil shale, bituminous sands, mining, methods of processing, geology and genesis of oil shale",Estonian Academy Publishers,Estonia,T|Q1-390,Technology | Science: Science (General)
Oklahoma Native Plant Record,http://ojs.library.okstate.edu/osu/index.php/ONPR/index,"botany, flora, regional botany, native plants",Oklahoma Native Plant Society,United States,QK1-989,Science: Botany
Oman Journal of Ophthalmology,http://www.ojoonline.org/,"ophthalmology, optometry, visual science, eye care",Wolters Kluwer Medknow Publications,India,RE1-994,Medicine: Ophthalmology
Oman Medical Journal,http://www.omjournal.org,"medicine, health",Oman Medical Specialty Board,Oman,R,Medicine
On_Culture,https://www.on-culture.org,"cultural studies, study of culture, literary studies, history, social sciences, cultural concepts",International Graduate Centre for the Study of Culture,Germany,P|H1-99,Language and Literature | Social Sciences: Social sciences (General)
Oncobiology and Targets,https://onbt.scholasticahq.com,"chemotherapy, drug discovery, chemoprevention, natural agent (neutraceutical) research, oncology, cancer researc",HATASO,United States,RC254-282,Medicine: Internal medicine: Neoplasms. Tumors. Oncology. Including cancer and carcinogens
Oncogenesis,http://www.nature.com/oncsis/index.html,"apoptosis, cancer metabolism, cellular oncogenes, dna, damage and repair, tumour suppression",Nature Publishing Group,United Kingdom,RC254-282,Medicine: Internal medicine: Neoplasms. Tumors. Oncology. Including cancer and carcinogens
OncoImmunology,https://www.tandfonline.com/KONI,"oncology, immunology, immunotherapy, tumour immunology",Taylor & Francis Group,United Kingdom,RC581-607|RC254-282,Medicine: Internal medicine: Specialties of internal medicine: Immunologic diseases. Allergy | Medicine: Internal medicine: Neoplasms. Tumors. Oncology. Including cancer and carcinogens
Oncolog-Hematolog.ro,https://medichub.ro/reviste-de-specialitate/oncolog-hematolog-ro,"oncology, hematology",Medichub Media,Romania,RC254-282,Medicine: Internal medicine: Neoplasms. Tumors. Oncology. Including cancer and carcinogens
Oncology and Therapy,https://www.springer.com/journal/40487,"cancer, cancer-related conditions, solid tumours, haematologic malignancies","Adis, Springer Healthcare",United Kingdom,RC254-282,Medicine: Internal medicine: Neoplasms. Tumors. Oncology. Including cancer and carcinogens
Oncology in Clinical Practice,https://journals.viamedica.pl/oncology_in_clinical_practice/index,"clinical oncology, cancer, targeted therapies",VM Media sp. z o.o. VM Group sp.k.,Poland,R,Medicine
Oncology Reviews,http://www.oncologyreviews.org,cancer research,PAGEPress Publications,Italy,RZ201-999|RC31-1245,Medicine: Other systems of medicine | Medicine: Internal medicine
OncoTargets and Therapy,https://www.dovepress.com/oncotargets-and-therapy-journal,"oncology, cancer, therapeutic agents",Dove Medical Press,United Kingdom,RC254-282,Medicine: Internal medicine: Neoplasms. Tumors. Oncology. Including cancer and carcinogens
Onderstepoort Journal of Veterinary Research,https://ojvr.org/index.php/ojvr,"veterinary medicine, infectious animal diseases, parasitic diseases",AOSIS,South Africa,SF600-1100,Agriculture: Animal culture: Veterinary medicine
One Ecosystem,https://oneecosystem.pensoft.net/,"ecology & conservation, environmental policies and law, ecosystem services, waste and water management, sustainable land and urban development, environmental impact assessment",Pensoft Publishers,Bulgaria,QH540-549.5,Science: Biology (General): Ecology
One Health,https://www.journals.elsevier.com/one-health,"pathogen transmission, virology, bacteriology, parasitology, modelling, health",Elsevier,Netherlands,R5-920,Medicine: Medicine (General)
One Health Outlook,https://onehealthoutlook.biomedcentral.com/,"environmental health, public policy, disease prevention",BMC,United Kingdom,GE1-350|RA1-1270,Geography. Anthropology. Recreation: Environmental sciences | Medicine: Public aspects of medicine
Online Journal of Applied Knowledge Management,http://www.iiakm.org/ojakm/,"business intelligence, architectures for km systems, biometrics, human capital, business strategy, intelligent information systems",International Institute for Applied Knowledge Management,United States,HF5001-6182,Social Sciences: Commerce: Business
Online Journal of Health & Allied Sciences,http://www.ojhas.org/,"medicine, health science, biomedicine",Light House Polyclinic Mangalore,India,R,Medicine
Online Journal of Nursing Informatics,http://www.himss.org/ojni,"nursing, medical informatics, health science",HIMSS,United States,RT1-120,Medicine: Nursing
Online Journal of Public Health Informatics,http://journals.uic.edu/ojs/index.php/ojphi,"public health, medical informatics",University of Illinois at Chicago,United States,RA1-1270,Medicine: Public aspects of medicine
Online Journal of Rural Nursing and Health Care,http://rnojournal.binghamton.edu/index.php/RNO,"rural health, rural nursing, health care, rural health research, rural health policy",Rural Nurse Organization; Binghamton University,United States,RT1-120|RA1-1270,Medicine: Nursing | Medicine: Public aspects of medicine
Online Learning,https://olj.onlinelearningconsortium.org,"online learning, instructional design, e-learning, higher education, k-12 education",Online Learning Consortium,United States,LB5-3640,Education: Theory and practice of education
Open Access Emergency Medicine,https://www.dovepress.com/open-access-emergency-medicine-journal,emergency medicine,Dove Medical Press,United Kingdom,RC86-88.9,Medicine: Internal medicine: Medical emergencies. Critical care. Intensive care. First aid
Open Access Journal of Clinical Trials,https://www.dovepress.com/open-access-journal-of-clinical-trials-journal,"clinical trial design, quality assurance, data collection, data auditing",Dove Medical Press,United Kingdom,R,Medicine
Open Access Journal of Contraception,https://www.dovepress.com/open-access-journal-of-contraception-journal,"family planning, contraception",Dove Medical Press,United Kingdom,RG1-991,Medicine: Gynecology and obstetrics
Open Access Journal of Sports Medicine,https://www.dovepress.com/open-access-journal-of-sports-medicine-journal,"sports medicine, sports performance, sports injuries",Dove Medical Press,United Kingdom,RC1200-1245,Medicine: Internal medicine: Special situations and conditions: Sports medicine
Open Access Rheumatology: Research and Reviews,https://www.dovepress.com/open-access-rheumatology-research-and-reviews-journal,"clinical rheumatology, experimental rheumatology, rheumatological diseases",Dove Medical Press,United Kingdom,RC925-935,Medicine: Internal medicine: Specialties of internal medicine: Diseases of the musculoskeletal system
Open Access Surgery,https://www.dovepress.com/open-access-surgery-journal,"surgery, patient outcomes, surgical procedures",Dove Medical Press,United Kingdom,RD1-811,Medicine: Surgery
Open Agriculture,https://www.degruyter.com/view/j/opag,"agriculture, horticulture, agronomy, food science and technology, soil science, veterinary sciences",De Gruyter,Poland,S|S1-972,Agriculture: Agriculture (General)
Open Archaeology,https://www.degruyter.com/journal/key/opar/html,"archaeological heritage, prehistory, archaeological science, archaeological visualisations, archeology",De Gruyter,Poland,CC1-960,Auxiliary sciences of history: Archaeology
Open Astronomy,https://www.degruyter.com/view/j/astro,"astronomy, astrophysics, cosmology, solar physics, planetary and exoplanetary science, space science",De Gruyter,Poland,QB1-991,Science: Astronomy
Open Biology,https://royalsocietypublishing.org/journal/rsob,"cell biology, developmental biology, molecular biology, biochemistry, immunology, microbiology",The Royal Society,United Kingdom,QH301-705.5,Science: Biology (General)
Open Ceramics,https://www.journals.elsevier.com/open-ceramics,"ceramics, glasses, refractories, bioceramics, ceramic matrix composite",Elsevier,United Kingdom,TP785-869,Technology: Chemical technology: Clay industries. Ceramics. Glass
Open Chemistry,https://www.degruyter.com/journal/key/CHEM/html,"organic chemistry, inorganic chemistry, physical chemistry, analytical chemistry, catalysis",De Gruyter,Poland,QD1-999,Science: Chemistry
Open Computer Science,https://www.degruyter.com/view/j/comp,"algorithms and complexity theory, artificial intelligence, networking and security systems, programming languages, system and software engineering, theoretical foundations of computer science",De Gruyter,Poland,QA75.5-76.95,Science: Mathematics: Instruments and machines: Electronic computers. Computer science
Open Cultural Studies,https://www.degruyter.com/view/j/culture,"culture, visual arts, media, social sciences, literature, political sciences",De Gruyter,Poland,H1-99,Social Sciences: Social sciences (General)
Open Economics,https://www.degruyter.com/view/j/openec,"economics, economic policy, economic theory, econometrics",De Gruyter,Poland,HB71-74,Social Sciences: Economic theory. Demography: Economics as a science
Open Education Studies,https://www.degruyter.com/view/j/edu,"education, teaching, learning, pedagogy, technology in education",De Gruyter,Poland,L,Education
Open Engineering,https://www.degruyter.com/journal/key/eng/html,"material science, computer engineering, electrical engineering, environmental engineering, mechanical engineering, aerospace engineering",De Gruyter,Poland,TA1-2040,Technology: Engineering (General). Civil engineering (General)
Open Forum Infectious Diseases,https://academic.oup.com/ofid,infectious diseases,Oxford University Press,United Kingdom,RC109-216,Medicine: Internal medicine: Infectious and parasitic diseases
Open Geomechanics,http://opengeomechanics.org,"geomechanics, geotechnical engineering",Centre Mersenne,France,T,Technology
Open Geosciences,http://www.degruyter.com/view/j/geo,"geology, climatology, geography, geochemistry, geoinformatics, hydrology",De Gruyter,Poland,QE1-996.5,Science: Geology
Open Health Data,http://openhealthdata.metajnl.com,"medical, public, datasets, health, data",Ubiquity Press,United Kingdom,R,Medicine
Open Heart,https://openheart.bmj.com,"cardiology, cardiovascular medicine",BMJ Publishing Group,United Kingdom,RC666-701,Medicine: Internal medicine: Specialties of internal medicine: Diseases of the circulatory (Cardiovascular) system
Open Information Science,https://www.degruyter.com/view/j/opis,"library and information science, research methods and information seeking, information literacy, digital libraries, school and academic libraries, cultural heritage and preservations",De Gruyter,Poland,Z,Bibliography. Library science. Information resources
Open Journal of Bioresources,http://openbioresources.metajnl.com/,"biological databases, bioinformatics, biomedical resources",Ubiquity Press,United Kingdom,R|R858-859.7,Medicine: Medicine (General): Computer applications to medicine. Medical informatics
Open Journal of Mathematical Analysis,https://pisrt.org/psr-press/journals/oma/,"mathematics, numerical analysis, mathematical statistics, differential equations, harmonic analysis",Ptolemy Scientific Research Press,Pakistan,QA299.6-433,Science: Mathematics: Analysis
Open Journal of Mathematical Sciences,https://pisrt.org/psr-press/journals/oms/,mathematics,Ptolemy Scientific Research Press,Pakistan,QA1-939,Science: Mathematics
Open Journal of Occupational Therapy,https://scholarworks.wmich.edu/ojot/,"occupational therapy, occupational therapy education",Scholarworks @ WMU,United States,RM1-950,Medicine: Therapeutics. Pharmacology
Open Journal of Psychiatry and Allied Sciences,https://www.ojpas.com/,"psychiatric nursing, psychiatric social work, psychiatry, clinical psychology",Academy Publisher,India,RC435-571,Medicine: Internal medicine: Neurosciences. Biological psychiatry. Neuropsychiatry: Neurology. Diseases of the nervous system: Psychiatry
Open Life Sciences,http://www.degruyter.com/view/j/biol,"plant science, animal science, molecular biology, biochemistry, genetics, ecology",De Gruyter,Poland,QH301-705.5,Science: Biology (General)
Open Linguistics,https://www.degruyter.com/journal/key/opli/html,"language policy, phonetics and phonology, historical linguistics, pragmatics, sign linguistics, sociolinguistics",De Gruyter,Poland,P1-1091,Language and Literature: Philology. Linguistics
Open Mathematics,https://www.degruyter.com/journal/key/math/html,"pure mathematics, differential equations, differential geometry, topology, functional analysis, complex analysis",De Gruyter,Poland,QA1-939,Science: Mathematics
Open Medicine,https://www.degruyter.com/journal/key/med/html,"medicine, public health",De Gruyter,Poland,R,Medicine
Open Mind,https://www.mitpressjournals.org/loi/opmi,"cognitive science, cognitive psychology, mathematical psychology, decision sciences, experimental linguistics, cognitive neuroscience",The MIT Press,United States,BF309-499|QP351-495,Philosophy. Psychology. Religion: Psychology: Consciousness. Cognition | Science: Physiology: Neurophysiology and neuropsychology
Open Philosophy,https://www.degruyter.com/view/j/opphil,philosophy,De Gruyter,Poland,B1-5802,Philosophy. Psychology. Religion: Philosophy (General)
Open Physics,https://www.degruyter.com/journal/key/phys/html,"fluid mechanics, theoretical physics, atomic physics, optics, lasers, condensed matter physics",De Gruyter,Poland,QC1-999,Science: Physics
Open Political Science,https://www.degruyter.com/view/j/openps,"political science, politics, international relations, government and administration, political thought, domestic policy",De Gruyter,Poland,J,Political science
Open Praxis,http://openpraxis.org,"distance education, open education, higher education, e-learning, open learning",International Council for Open and Distance Education (ICDE),Norway,LC8-6691,Education: Special aspects of education
Open Psychology,https://www.degruyter.com/view/j/psych,"applied psychology, developmental psychology, social psychology, cognitive psychology, psychology",De Gruyter,Poland,BF1-990,Philosophy. Psychology. Religion: Psychology
Open Quaternary,http://www.openquaternary.com/,"archaeology, paleoecology, paleontology, zooarchaeology, archaeobotany, quaternary science",Ubiquity Press,United Kingdom,GN281-289|GN700-890|QE701-760,Geography. Anthropology. Recreation: Anthropology: Physical anthropology. Somatology: Human evolution | Geography. Anthropology. Recreation: Anthropology: Prehistoric archaeology | Science: Geology: Paleontology
Open Research Europe,https://open-research-europe.ec.europa.eu/,"natural sciences, engineering and technology, medical and health sciences, agricultural and veterinary sciences, social sciences, humanities and the arts",F1000 Research Ltd,United Kingdom,Q|H,Social Sciences
Open Review of Educational Research,https://www.tandfonline.com/toc/rrer20/current,"education, philosophy of education, educational technology, educational studies",Taylor & Francis Group,United Kingdom,L,Education
Open Rivers,https://editions.lib.umn.edu/openrivers/,"rivers, place, water, community",University of Minnesota Libraries Publishing,United States,G|AZ20-999,Geography. Anthropology. Recreation | General Works: History of scholarship and learning. The humanities
Open Screens,https://openscreensjournal.com,"film studies, screen studies, media studies, television",Open Library of Humanities,United Kingdom,N1-9211|P87-96,Fine Arts: Visual arts | Language and Literature: Philology. Linguistics: Communication. Mass media
